    xi	    yi	  phii	 delta	    xf	    yf	  phif	sucesso	passos	 err_x	 err_y	err_phi	    EE	    ET
87.5653	36.1952	59.7936	1.0000	52.2224	62.1785	118.0015	1.0000	48.0000	0.0444	0.3782	0.3111	47.1115	1.0942
85.4296	53.4834	65.9120	1.0000	85.4131	54.4832	90.9445	1.0000	1.0000	0.7083	0.4552	0.0105	57.6781	1.0000
51.3568	98.8799	46.8771	1.0000	51.8192	99.7666	62.4557	1.0000	1.0000	0.0364	0.0023	0.3060	27.6053	1.0000
17.7944	93.4027	191.9508	1.0000	15.5436	95.0949	118.2349	1.0000	3.0000	0.6891	0.0491	0.3137	44.8165	1.0653
83.6369	85.6558	-2.7111	1.0000	80.0215	95.5103	148.7974	1.0000	13.0000	0.6004	0.0449	0.6533	66.1708	1.2385
92.9979	49.0690	3.0988	1.0000	52.2848	75.8707	118.8535	1.0000	57.0000	0.0457	0.2413	0.3206	37.6824	1.1694
66.9824	90.4442	36.6572	1.0000	67.6447	93.2852	93.4603	1.0000	3.0000	0.3529	0.0671	0.0384	19.1936	1.0284
23.6200	15.1559	22.7756	1.0000	47.6090	47.6871	72.7944	1.0000	42.0000	0.0478	0.5231	0.1912	55.1215	1.0391
95.5785	41.7380	-10.3390	1.0000	97.8111	44.4905	88.3556	1.0000	4.0000	0.9562	0.5551	0.0183	73.2796	1.1286
30.6887	86.8340	224.4343	1.0000	30.7476	95.5204	48.4782	1.0000	13.0000	0.3850	0.0448	0.4614	45.9867	1.4966
78.6223	92.6789	83.4113	1.0000	77.6154	95.4831	116.7565	1.0000	3.0000	0.5523	0.0452	0.2973	38.7159	1.0069
52.5793	0.8475	8.8015	1.0000	54.7022	4.8852	94.0434	1.0000	5.0000	0.0940	0.9511	0.0449	95.3167	1.0961
54.7521	53.7409	-71.9294	1.0000	52.2674	67.6065	118.2232	1.0000	21.0000	0.0453	0.3239	0.3136	43.0236	1.4908
30.4937	66.8370	-49.3228	1.0000	47.6216	88.1205	73.9514	1.0000	31.0000	0.0476	0.1188	0.1783	20.1081	1.1347
76.9847	6.8145	246.3291	1.0000	52.3644	15.7451	118.4630	1.0000	34.0000	0.0473	0.8425	0.3163	88.9641	1.2982
87.3347	73.1319	205.2639	1.0000	52.0822	87.8930	117.2369	1.0000	43.0000	0.0416	0.1211	0.3026	29.8791	1.1251
90.7564	63.8055	-22.2926	1.0000	52.2114	90.8785	117.8664	1.0000	57.0000	0.0442	0.0912	0.3096	29.4045	1.2101
58.9665	79.7237	-80.2558	1.0000	54.2327	95.1311	126.2494	1.0000	24.0000	0.0847	0.0487	0.4028	36.8190	1.4890
1.3223	34.6392	74.2623	1.0000	47.3148	95.4682	68.5608	1.0000	77.0000	0.0537	0.0453	0.2382	22.0768	1.0097
60.0413	90.4699	-68.8873	1.0000	64.5429	92.7864	86.1131	1.0000	7.0000	0.2909	0.0721	0.0432	16.6925	1.3827
14.4032	8.7923	111.2958	1.0000	14.4685	9.7902	86.2531	1.0000	1.0000	0.7106	0.9021	0.0416	97.0275	1.0000
17.9867	73.6775	190.4631	1.0000	15.7467	76.4253	91.8619	1.0000	4.0000	0.6851	0.2357	0.0207	41.6235	1.1283
17.8720	55.1232	-61.5510	1.0000	47.6412	76.0509	71.9187	1.0000	47.0000	0.0472	0.2395	0.2009	30.1008	1.2916
54.3362	82.7235	-65.0246	1.0000	58.8428	85.0405	86.1724	1.0000	7.0000	0.1769	0.1496	0.0425	17.7942	1.3814
40.3280	40.5532	162.3813	1.0000	39.2388	43.1487	87.8058	1.0000	3.0000	0.2152	0.5685	0.0244	57.9024	1.0658
32.0508	23.9801	156.5472	1.0000	31.0825	26.6479	86.7317	1.0000	3.0000	0.3784	0.7335	0.0363	75.8227	1.0570
87.2146	74.1153	35.5757	1.0000	55.4254	95.7684	128.4919	1.0000	43.0000	0.1085	0.0423	0.4277	39.1020	1.1180
76.7277	55.2869	8.5200	1.0000	52.2076	83.1178	117.8416	1.0000	41.0000	0.0442	0.1688	0.3094	32.6349	1.1054
11.5931	51.8102	116.9462	1.0000	11.5588	52.8096	91.9654	1.0000	1.0000	0.7688	0.4719	0.0218	60.8976	1.0000
25.7425	74.7177	260.5635	1.0000	21.1728	76.0038	91.2808	1.0000	7.0000	0.5765	0.2400	0.0142	37.5295	1.4745
0.5713	88.3306	109.9375	1.0000	4.3608	95.1851	47.6124	1.0000	8.0000	0.9128	0.0481	0.4710	62.4726	1.0214
